Text,Tokenized,Processed_Text
beautiful inside prayers healing,"['beautiful', 'inside', 'prayers', 'healing']",beautiful inside prayers healing
praying complete healing whit god things possible got,"['praying', 'complete', 'healing', 'whit', 'god', 'things', 'possible', 'got']",praying complete healing whit god things possible got
delia beautiful inside sooo strong god bless,"['delia', 'beautiful', 'inside', 'sooo', 'strong', 'god', 'bless']",delia beautiful inside sooo strong god bless
best,['best'],best
thank much sharing breast cancer family 6 generations whenever doctor talks imaging mentality worried 28 mom 26 though thank reminding bc real come age watched videos continue follow journey thank sharing journey us thinking,"['thank', 'much', 'sharing', 'breast', 'cancer', 'family', 'generations', 'whenever', 'doctor', 'talks', 'imaging', 'mentality', 'worried', '28', 'mom', '26', 'though', 'thank', 'reminding', 'bc', 'real', 'come', 'age', 'watched', 'videos', 'continue', 'follow', 'journey', 'thank', 'sharing', 'journey', 'us', 'thinking']",thank much sharing breast cancer family generations whenever doctor talks imaging mentality worried 28 mom 26 though thank reminding bc real come age watched videos continue follow journey thank sharing journey us thinking
dear beautiful delia stay strong praying israel,"['dear', 'beautiful', 'delia', 'stay', 'strong', 'praying', 'israel']",dear beautiful delia stay strong praying israel
thank posting putting going doctors way long lot cancer symptoms reason fear hospitals talking family health stopped every time plan going see dr makes frustrated first found lump 2018 thought nothing fear could late also autism find hard talk self family ps sorry put wanted peoples thoughts get around fear getting tested going get checked tomorrow best ever video think strong,"['thank', 'posting', 'putting', 'going', 'doctors', 'way', 'long', 'lot', 'cancer', 'symptoms', 'reason', 'fear', 'hospitals', 'talking', 'family', 'health', 'stopped', 'every', 'time', 'plan', 'going', 'see', 'dr', 'makes', 'frustrated', 'first', 'found', 'lump', '2018', 'thought', 'nothing', 'fear', 'could', 'late', 'also', 'autism', 'find', 'hard', 'talk', 'self', 'family', 'ps', 'sorry', 'put', 'wanted', 'peoples', 'thoughts', 'get', 'around', 'fear', 'getting', 'tested', 'going', 'get', 'checked', 'tomorrow', 'best', 'ever', 'video', 'think', 'strong']",thank posting putting going doctors way long lot cancer symptoms reason fear hospitals talking family health stopped every time plan going see dr makes frustrated first found lump 2018 thought nothing fear could late also autism find hard talk self family ps sorry put wanted peoples thoughts get around fear getting tested going get checked tomorrow best ever video think strong
words coming mind commenting leave,"['words', 'coming', 'mind', 'commenting', 'leave']",words coming mind commenting leave
daughter 19 diagnosed ewing sarcoma 23 still battling ewing therapy related acute myleoid leukemia covid hard everyone especially cancer patient daughter lower lung removed emergency heart surgery without visitor restrictions sending love light healing thoughts,"['daughter', '19', 'diagnosed', 'ewing', 'sarcoma', '23', 'still', 'battling', 'ewing', 'therapy', 'related', 'acute', 'myleoid', 'leukemia', 'covid', 'hard', 'everyone', 'especially', 'cancer', 'patient', 'daughter', 'lower', 'lung', 'removed', 'emergency', 'heart', 'surgery', 'without', 'visitor', 'restrictions', 'sending', 'love', 'light', 'healing', 'thoughts']",daughter 19 diagnosed ewing sarcoma 23 still battling ewing therapy related acute myleoid leukemia covid hard everyone especially cancer patient daughter lower lung removed emergency heart surgery without visitor restrictions sending love light healing thoughts
delia sorry go difficult time pray husband get family guys deserve heal soon strong never give rooting,"['delia', 'sorry', 'go', 'difficult', 'time', 'pray', 'husband', 'get', 'family', 'guys', 'deserve', 'heal', 'soon', 'strong', 'never', 'give', 'rooting']",delia sorry go difficult time pray husband get family guys deserve heal soon strong never give rooting
patients tell experience terrible taste getting port flushed one recommended pushing tongue roof mouth flush happening swears asked tell patients hope trick helps sending prayers rest journey goes well,"['patients', 'tell', 'experience', 'terrible', 'taste', 'getting', 'port', 'flushed', 'one', 'recommended', 'pushing', 'tongue', 'roof', 'mouth', 'flush', 'happening', 'swears', 'asked', 'tell', 'patients', 'hope', 'trick', 'helps', 'sending', 'prayers', 'rest', 'journey', 'goes', 'well']",patients tell experience terrible taste getting port flushed one recommended pushing tongue roof mouth flush happening swears asked tell patients hope trick helps sending prayers rest journey goes well
thank sharing really angel sent god amazing beautiful soul strong light shines makes see blessed life every min take granted love prayers hubby,"['thank', 'sharing', 'really', 'angel', 'sent', 'god', 'amazing', 'beautiful', 'soul', 'strong', 'light', 'shines', 'makes', 'see', 'blessed', 'life', 'every', 'min', 'take', 'granted', 'love', 'prayers', 'hubby']",thank sharing really angel sent god amazing beautiful soul strong light shines makes see blessed life every min take granted love prayers hubby
pray father creator heaven earth comfort carry go valley loves everlasting love,"['pray', 'father', 'creator', 'heaven', 'earth', 'comfort', 'carry', 'go', 'valley', 'loves', 'everlasting', 'love']",pray father creator heaven earth comfort carry go valley loves everlasting love
gids amazing healing power upon,"['gids', 'amazing', 'healing', 'power', 'upon']",gids amazing healing power upon
strong beautiful woman,"['strong', 'beautiful', 'woman']",strong beautiful woman
praying total healing restoration name jesus,"['praying', 'total', 'healing', 'restoration', 'name', 'jesus']",praying total healing restoration name jesus
amazing,['amazing'],amazing
amazing praying,"['amazing', 'praying']",amazing praying
saline flush worst hospital major post op infection def hated saline flush huge pain rush brain many flush quick long got go slow use much surgeries later bad taste mouth awful especially flushing several times day giving different medications knock saying saline worst totally despite surgeries,"['saline', 'flush', 'worst', 'hospital', 'major', 'post', 'op', 'infection', 'def', 'hated', 'saline', 'flush', 'huge', 'pain', 'rush', 'brain', 'many', 'flush', 'quick', 'long', 'got', 'go', 'slow', 'use', 'much', 'surgeries', 'later', 'bad', 'taste', 'mouth', 'awful', 'especially', 'flushing', 'several', 'times', 'day', 'giving', 'different', 'medications', 'knock', 'saying', 'saline', 'worst', 'totally', 'despite', 'surgeries']",saline flush worst hospital major post op infection def hated saline flush huge pain rush brain many flush quick long got go slow use much surgeries later bad taste mouth awful especially flushing several times day giving different medications knock saying saline worst totally despite surgeries
sending prayers may god heal,"['sending', 'prayers', 'may', 'god', 'heal']",sending prayers may god heal
thank brave sharing story know personally praying everyone fighting terrible thing call cancer lost father law colon cancer hardest thing watch especially old treatment praying knowing come winner,"['thank', 'brave', 'sharing', 'story', 'know', 'personally', 'praying', 'everyone', 'fighting', 'terrible', 'thing', 'call', 'cancer', 'lost', 'father', 'law', 'colon', 'cancer', 'hardest', 'thing', 'watch', 'especially', 'old', 'treatment', 'praying', 'knowing', 'come', 'winner']",thank brave sharing story know personally praying everyone fighting terrible thing call cancer lost father law colon cancer hardest thing watch especially old treatment praying knowing come winner
always keep fighting beautiful,"['always', 'keep', 'fighting', 'beautiful']",always keep fighting beautiful
wow beautiful woman inside strength amazing sending love prayers,"['wow', 'beautiful', 'woman', 'inside', 'strength', 'amazing', 'sending', 'love', 'prayers']",wow beautiful woman inside strength amazing sending love prayers
medication wear ppe classified hazardous drugs drugs cause reproductive issues fetal defects dangerous used treatment something even dangerous work children hospital pregnant avoid often,"['medication', 'wear', 'ppe', 'classified', 'hazardous', 'drugs', 'drugs', 'cause', 'reproductive', 'issues', 'fetal', 'defects', 'dangerous', 'used', 'treatment', 'something', 'even', 'dangerous', 'work', 'children', 'hospital', 'pregnant', 'avoid', 'often']",medication wear ppe classified hazardous drugs drugs cause reproductive issues fetal defects dangerous used treatment something even dangerous work children hospital pregnant avoid often
keep going delia cute strong,"['keep', 'going', 'delia', 'cute', 'strong']",keep going delia cute strong
wünsche dir alles alles gute halte dir fest die daumen lg hilla,"['wünsche', 'dir', 'alles', 'alles', 'gute', 'halte', 'dir', 'fest', 'die', 'daumen', 'lg', 'hilla']",wünsche dir alles alles gute halte dir fest die daumen lg hilla
oh,['oh'],oh
finished chemo regime awaiting surgery thursday stay strong great,"['finished', 'chemo', 'regime', 'awaiting', 'surgery', 'thursday', 'stay', 'strong', 'great']",finished chemo regime awaiting surgery thursday stay strong great
god bless 2 amazing sharing help others prayers blessings,"['god', 'bless', 'amazing', 'sharing', 'help', 'others', 'prayers', 'blessings']",god bless amazing sharing help others prayers blessings
hug prayers,"['hug', 'prayers']",hug prayers
makes cry seeing go wish could hug,"['makes', 'cry', 'seeing', 'go', 'wish', 'could', 'hug']",makes cry seeing go wish could hug
lucky still husband come infusions cancer systemic lupus get one two treatments infusion able anyone come year,"['lucky', 'still', 'husband', 'come', 'infusions', 'cancer', 'systemic', 'lupus', 'get', 'one', 'two', 'treatments', 'infusion', 'able', 'anyone', 'come', 'year']",lucky still husband come infusions cancer systemic lupus get one two treatments infusion able anyone come year
know covid going treatment must scary glad support time,"['know', 'covid', 'going', 'treatment', 'must', 'scary', 'glad', 'support', 'time']",know covid going treatment must scary glad support time
praying,['praying'],praying
delia strong beautiful strong sincere humble person inside god give us nothing strong enough handle gives toughest battles strongest soldiers makes stronger know chapter life may seem dark rough scary etc everything life happens reason lesson blessing etc everything life temporary people always wanna question throughout seasons life questions answered try look like minor setback major comeback keep head princess let tiara tilt,"['delia', 'strong', 'beautiful', 'strong', 'sincere', 'humble', 'person', 'inside', 'god', 'give', 'us', 'nothing', 'strong', 'enough', 'handle', 'gives', 'toughest', 'battles', 'strongest', 'soldiers', 'makes', 'stronger', 'know', 'chapter', 'life', 'may', 'seem', 'dark', 'rough', 'scary', 'etc', 'everything', 'life', 'happens', 'reason', 'lesson', 'blessing', 'etc', 'everything', 'life', 'temporary', 'people', 'always', 'wanna', 'question', 'throughout', 'seasons', 'life', 'questions', 'answered', 'try', 'look', 'like', 'minor', 'setback', 'major', 'comeback', 'keep', 'head', 'princess', 'let', 'tiara', 'tilt']",delia strong beautiful strong sincere humble person inside god give us nothing strong enough handle gives toughest battles strongest soldiers makes stronger know chapter life may seem dark rough scary etc everything life happens reason lesson blessing etc everything life temporary people always wanna question throughout seasons life questions answered try look like minor setback major comeback keep head princess let tiara tilt
love much know god watching bless heart soul pray time delia kudos go thank much sharing,"['love', 'much', 'know', 'god', 'watching', 'bless', 'heart', 'soul', 'pray', 'time', 'delia', 'kudos', 'go', 'thank', 'much', 'sharing']",love much know god watching bless heart soul pray time delia kudos go thank much sharing
oh delia strive spirit god bless help let tears trickle tied ribbons statement battles,"['oh', 'delia', 'strive', 'spirit', 'god', 'bless', 'help', 'let', 'tears', 'trickle', 'tied', 'ribbons', 'statement', 'battles']",oh delia strive spirit god bless help let tears trickle tied ribbons statement battles
may almighty god heal dear,"['may', 'almighty', 'god', 'heal', 'dear']",may almighty god heal dear
ocean deep faith stand got delia praying,"['ocean', 'deep', 'faith', 'stand', 'got', 'delia', 'praying']",ocean deep faith stand got delia praying
prayers coming way,"['prayers', 'coming', 'way']",prayers coming way
prayers family,"['prayers', 'family']",prayers family
delia dylan cancer cruel beast particularly cruel brave inspiring thoughts guys,"['delia', 'dylan', 'cancer', 'cruel', 'beast', 'particularly', 'cruel', 'brave', 'inspiring', 'thoughts', 'guys']",delia dylan cancer cruel beast particularly cruel brave inspiring thoughts guys
got hang sweet lady mom fought uterine cancer 2017 2018 sending positive vibes,"['got', 'hang', 'sweet', 'lady', 'mom', 'fought', 'uterine', 'cancer', '2017', '2018', 'sending', 'positive', 'vibes']",got hang sweet lady mom fought uterine cancer 2017 2018 sending positive vibes
delia amazing rooting,"['delia', 'amazing', 'rooting']",delia amazing rooting
poland green color hope heart hope dear,"['poland', 'green', 'color', 'hope', 'heart', 'hope', 'dear']",poland green color hope heart hope dear
avoid things life puts path way face husband admirable never quit smile wait see like,"['avoid', 'things', 'life', 'puts', 'path', 'way', 'face', 'husband', 'admirable', 'never', 'quit', 'smile', 'wait', 'see', 'like']",avoid things life puts path way face husband admirable never quit smile wait see like
treatments alone chair room people always tired first booked early morning slept mine cause treatment 3hr one 4 part chemo abvd got girl fuckcancer,"['treatments', 'alone', 'chair', 'room', 'people', 'always', 'tired', 'first', 'booked', 'early', 'morning', 'slept', 'mine', 'cause', 'treatment', '3hr', 'one', 'part', 'chemo', 'abvd', 'got', 'girl', 'fuckcancer']",treatments alone chair room people always tired first booked early morning slept mine cause treatment 3hr one part chemo abvd got girl fuckcancer
blessings sweet delia really champion taking everything grace inspire strength sending warm hugs thoughts wishes,"['blessings', 'sweet', 'delia', 'really', 'champion', 'taking', 'everything', 'grace', 'inspire', 'strength', 'sending', 'warm', 'hugs', 'thoughts', 'wishes']",blessings sweet delia really champion taking everything grace inspire strength sending warm hugs thoughts wishes
delia rock star brave get sending love prayers australia,"['delia', 'rock', 'star', 'brave', 'get', 'sending', 'love', 'prayers', 'australia']",delia rock star brave get sending love prayers australia
god bless get well soon,"['god', 'bless', 'get', 'well', 'soon']",god bless get well soon
praying deeply recovery brave strong sharing truth,"['praying', 'deeply', 'recovery', 'brave', 'strong', 'sharing', 'truth']",praying deeply recovery brave strong sharing truth
lifting prayer thank sharing journey know bringing comfort people situation keep light,"['lifting', 'prayer', 'thank', 'sharing', 'journey', 'know', 'bringing', 'comfort', 'people', 'situation', 'keep', 'light']",lifting prayer thank sharing journey know bringing comfort people situation keep light
quick recovery sweet delia may gods healing upon jesus name amen,"['quick', 'recovery', 'sweet', 'delia', 'may', 'gods', 'healing', 'upon', 'jesus', 'name', 'amen']",quick recovery sweet delia may gods healing upon jesus name amen
sending love xxx,"['sending', 'love', 'xxx']",sending love xxx
delia courageous beautiful brave young lady cancer scary thing three treatments seems cruel understand oh horrid wonderful dylan could go time pool area families house looked like walts breaking bad lol wishing luck world rest fight awesome xx,"['delia', 'courageous', 'beautiful', 'brave', 'young', 'lady', 'cancer', 'scary', 'thing', 'three', 'treatments', 'seems', 'cruel', 'understand', 'oh', 'horrid', 'wonderful', 'dylan', 'could', 'go', 'time', 'pool', 'area', 'families', 'house', 'looked', 'like', 'walts', 'breaking', 'bad', 'lol', 'wishing', 'luck', 'world', 'rest', 'fight', 'awesome', 'xx']",delia courageous beautiful brave young lady cancer scary thing three treatments seems cruel understand oh horrid wonderful dylan could go time pool area families house looked like walts breaking bad lol wishing luck world rest fight awesome xx
praying delia stay strong god knows going loves much know hard also know one know hard really know god diagnosis well sometimes think anymore call upon lord help gives peace comfort god give peace,"['praying', 'delia', 'stay', 'strong', 'god', 'knows', 'going', 'loves', 'much', 'know', 'hard', 'also', 'know', 'one', 'know', 'hard', 'really', 'know', 'god', 'diagnosis', 'well', 'sometimes', 'think', 'anymore', 'call', 'upon', 'lord', 'help', 'gives', 'peace', 'comfort', 'god', 'give', 'peace']",praying delia stay strong god knows going loves much know hard also know one know hard really know god diagnosis well sometimes think anymore call upon lord help gives peace comfort god give peace
dylan deliachatwin delia beautiful inside warrior princess role model women inspire us courage cried videos trying stay strong dylan everytime watch pray god health sending hope love lalaland xoxo fancienanc nanc,"['dylan', 'deliachatwin', 'delia', 'beautiful', 'inside', 'warrior', 'princess', 'role', 'model', 'women', 'inspire', 'us', 'courage', 'cried', 'videos', 'trying', 'stay', 'strong', 'dylan', 'everytime', 'watch', 'pray', 'god', 'health', 'sending', 'hope', 'love', 'lalaland', 'xoxo', 'fancienanc', 'nanc']",dylan deliachatwin delia beautiful inside warrior princess role model women inspire us courage cried videos trying stay strong dylan everytime watch pray god health sending hope love lalaland xoxo fancienanc nanc
delia humbled watching journey lovely couple blessed great attitude composure stand wish continued healing full return health prayers never lose heart believe strength character complete always remember got much love x,"['delia', 'humbled', 'watching', 'journey', 'lovely', 'couple', 'blessed', 'great', 'attitude', 'composure', 'stand', 'wish', 'continued', 'healing', 'full', 'return', 'health', 'prayers', 'never', 'lose', 'heart', 'believe', 'strength', 'character', 'complete', 'always', 'remember', 'got', 'much', 'love']",delia humbled watching journey lovely couple blessed great attitude composure stand wish continued healing full return health prayers never lose heart believe strength character complete always remember got much love
dear dalia last year sister died breast cancer watch videos see sister remember happy memories dalia god know god watching love guys,"['dear', 'dalia', 'last', 'year', 'sister', 'died', 'breast', 'cancer', 'watch', 'videos', 'see', 'sister', 'remember', 'happy', 'memories', 'dalia', 'god', 'know', 'god', 'watching', 'love', 'guys']",dear dalia last year sister died breast cancer watch videos see sister remember happy memories dalia god know god watching love guys
sores mouth mouth wash called biotene works well,"['sores', 'mouth', 'mouth', 'wash', 'called', 'biotene', 'works', 'well']",sores mouth mouth wash called biotene works well
best germany,"['best', 'germany']",best germany
look good mire positive vibes world saying prayers every day going 6 month mamo tomorrow love beautiful,"['look', 'good', 'mire', 'positive', 'vibes', 'world', 'saying', 'prayers', 'every', 'day', 'going', 'month', 'mamo', 'tomorrow', 'love', 'beautiful']",look good mire positive vibes world saying prayers every day going month mamo tomorrow love beautiful
warrior special beauty handsome support sys god bless,"['warrior', 'special', 'beauty', 'handsome', 'support', 'sys', 'god', 'bless']",warrior special beauty handsome support sys god bless
strongs south africa,"['strongs', 'south', 'africa']",strongs south africa
omg cannnot say enough prayers feel strength sent australia,"['omg', 'cannnot', 'say', 'enough', 'prayers', 'feel', 'strength', 'sent', 'australia']",omg cannnot say enough prayers feel strength sent australia
mouthwash help sores mouth,"['mouthwash', 'help', 'sores', 'mouth']",mouthwash help sores mouth
prayers plus babies future strong courageous gal bless beautiful heart health family,"['prayers', 'plus', 'babies', 'future', 'strong', 'courageous', 'gal', 'bless', 'beautiful', 'heart', 'health', 'family']",prayers plus babies future strong courageous gal bless beautiful heart health family
chemo also gave neupogen shots take home helped much pray well chemo god bless family,"['chemo', 'also', 'gave', 'neupogen', 'shots', 'take', 'home', 'helped', 'much', 'pray', 'well', 'chemo', 'god', 'bless', 'family']",chemo also gave neupogen shots take home helped much pray well chemo god bless family
beautiful xoxo,"['beautiful', 'xoxo']",beautiful xoxo
brave best rest journey praying speedy recovery,"['brave', 'best', 'rest', 'journey', 'praying', 'speedy', 'recovery']",brave best rest journey praying speedy recovery
one women another inspired strength sending hugs prayers healthy recovery pass blessed beautiful family,"['one', 'women', 'another', 'inspired', 'strength', 'sending', 'hugs', 'prayers', 'healthy', 'recovery', 'pass', 'blessed', 'beautiful', 'family']",one women another inspired strength sending hugs prayers healthy recovery pass blessed beautiful family
got girl stay strong incredible,"['got', 'girl', 'stay', 'strong', 'incredible']",got girl stay strong incredible
strong inspiring keeping prayers fighter survivor,"['strong', 'inspiring', 'keeping', 'prayers', 'fighter', 'survivor']",strong inspiring keeping prayers fighter survivor
seeing everything brings back memories sorry go thru twin went thru cancer together week started treatment different chemos sister dealing treatment though different since really cause real issues like regular chemo lot different shots every day 5 months say felt great whole time everyone waiting chemo never felt sick ever,"['seeing', 'everything', 'brings', 'back', 'memories', 'sorry', 'go', 'thru', 'twin', 'went', 'thru', 'cancer', 'together', 'week', 'started', 'treatment', 'different', 'chemos', 'sister', 'dealing', 'treatment', 'though', 'different', 'since', 'really', 'cause', 'real', 'issues', 'like', 'regular', 'chemo', 'lot', 'different', 'shots', 'every', 'day', 'months', 'say', 'felt', 'great', 'whole', 'time', 'everyone', 'waiting', 'chemo', 'never', 'felt', 'sick', 'ever']",seeing everything brings back memories sorry go thru twin went thru cancer together week started treatment different chemos sister dealing treatment though different since really cause real issues like regular chemo lot different shots every day months say felt great whole time everyone waiting chemo never felt sick ever
god admire way handling situation hope pray win battle know meantime keep positive optimistic importantly keep faith god stronger ever savior father loves us god bless love guatemala,"['god', 'admire', 'way', 'handling', 'situation', 'hope', 'pray', 'win', 'battle', 'know', 'meantime', 'keep', 'positive', 'optimistic', 'importantly', 'keep', 'faith', 'god', 'stronger', 'ever', 'savior', 'father', 'loves', 'us', 'god', 'bless', 'love', 'guatemala']",god admire way handling situation hope pray win battle know meantime keep positive optimistic importantly keep faith god stronger ever savior father loves us god bless love guatemala
god bless delia sooooo strong send way positive vibes incredible human kick cancer ass,"['god', 'bless', 'delia', 'sooooo', 'strong', 'send', 'way', 'positive', 'vibes', 'incredible', 'human', 'kick', 'cancer', 'ass']",god bless delia sooooo strong send way positive vibes incredible human kick cancer ass
ti auguro una veloce guarigione,"['ti', 'auguro', 'una', 'veloce', 'guarigione']",ti auguro una veloce guarigione
glad posted video thinking praying good see great spirit though situation rough got way love shorter hair fun yay halfway mark go sister,"['glad', 'posted', 'video', 'thinking', 'praying', 'good', 'see', 'great', 'spirit', 'though', 'situation', 'rough', 'got', 'way', 'love', 'shorter', 'hair', 'fun', 'yay', 'halfway', 'mark', 'go', 'sister']",glad posted video thinking praying good see great spirit though situation rough got way love shorter hair fun yay halfway mark go sister
continued prayers painful journey delia strong beautiful woman doubt mind beat beast thank update much love north dakota,"['continued', 'prayers', 'painful', 'journey', 'delia', 'strong', 'beautiful', 'woman', 'doubt', 'mind', 'beat', 'beast', 'thank', 'update', 'much', 'love', 'north', 'dakota']",continued prayers painful journey delia strong beautiful woman doubt mind beat beast thank update much love north dakota
sending love healing beautiful gift sharing,"['sending', 'love', 'healing', 'beautiful', 'gift', 'sharing']",sending love healing beautiful gift sharing
worked cancer sick think lymphoma gave glimpse hope beautiful couple praying health healing rockstar,"['worked', 'cancer', 'sick', 'think', 'lymphoma', 'gave', 'glimpse', 'hope', 'beautiful', 'couple', 'praying', 'health', 'healing', 'rockstar']",worked cancer sick think lymphoma gave glimpse hope beautiful couple praying health healing rockstar
always keeping thoughts prayers incredible forget know many people proud far gotten far go,"['always', 'keeping', 'thoughts', 'prayers', 'incredible', 'forget', 'know', 'many', 'people', 'proud', 'far', 'gotten', 'far', 'go']",always keeping thoughts prayers incredible forget know many people proud far gotten far go
love sorry god bring cancer 2020 underwent chemotherapy radiation month marks year chemotherapy god healer trust,"['love', 'sorry', 'god', 'bring', 'cancer', '2020', 'underwent', 'chemotherapy', 'radiation', 'month', 'marks', 'year', 'chemotherapy', 'god', 'healer', 'trust']",love sorry god bring cancer 2020 underwent chemotherapy radiation month marks year chemotherapy god healer trust
praying believing well healthy delia,"['praying', 'believing', 'well', 'healthy', 'delia']",praying believing well healthy delia
sending love hope sweetie,"['sending', 'love', 'hope', 'sweetie']",sending love hope sweetie
amazing stay strong god bless,"['amazing', 'stay', 'strong', 'god', 'bless']",amazing stay strong god bless
delia amazing inspiration dylan great example supporting loving unconditionally,"['delia', 'amazing', 'inspiration', 'dylan', 'great', 'example', 'supporting', 'loving', 'unconditionally']",delia amazing inspiration dylan great example supporting loving unconditionally
happy dylan gets go treatments strong delia praying,"['happy', 'dylan', 'gets', 'go', 'treatments', 'strong', 'delia', 'praying']",happy dylan gets go treatments strong delia praying
delia strong know fight cancer keep fighting stop almost keep prayers,"['delia', 'strong', 'know', 'fight', 'cancer', 'keep', 'fighting', 'stop', 'almost', 'keep', 'prayers']",delia strong know fight cancer keep fighting stop almost keep prayers
brave brave brave girl beautiful literally see sweet pure soul sending love healing angel,"['brave', 'brave', 'brave', 'girl', 'beautiful', 'literally', 'see', 'sweet', 'pure', 'soul', 'sending', 'love', 'healing', 'angel']",brave brave brave girl beautiful literally see sweet pure soul sending love healing angel
strong lady prayers wish speed recovery wish good health wellbieng,"['strong', 'lady', 'prayers', 'wish', 'speed', 'recovery', 'wish', 'good', 'health', 'wellbieng']",strong lady prayers wish speed recovery wish good health wellbieng
bless heart sweet delia fortunately know first hand going strong appointments alone sending prayers,"['bless', 'heart', 'sweet', 'delia', 'fortunately', 'know', 'first', 'hand', 'going', 'strong', 'appointments', 'alone', 'sending', 'prayers']",bless heart sweet delia fortunately know first hand going strong appointments alone sending prayers
god bless guys,"['god', 'bless', 'guys']",god bless guys
great,['great'],great
similar infusions fortnightly years chronic autoimmune diseases,"['similar', 'infusions', 'fortnightly', 'years', 'chronic', 'autoimmune', 'diseases']",similar infusions fortnightly years chronic autoimmune diseases
amazing beautiful thank sharing journey,"['amazing', 'beautiful', 'thank', 'sharing', 'journey']",amazing beautiful thank sharing journey
beautiful grace strong throughout video thank allowing us follow journey sending many prayers healing,"['beautiful', 'grace', 'strong', 'throughout', 'video', 'thank', 'allowing', 'us', 'follow', 'journey', 'sending', 'many', 'prayers', 'healing']",beautiful grace strong throughout video thank allowing us follow journey sending many prayers healing
hard like video sharing journey truly heart felt,"['hard', 'like', 'video', 'sharing', 'journey', 'truly', 'heart', 'felt']",hard like video sharing journey truly heart felt
definitely praying sending prayers love texas,"['definitely', 'praying', 'sending', 'prayers', 'love', 'texas']",definitely praying sending prayers love texas
mother took red one called big red,"['mother', 'took', 'red', 'one', 'called', 'big', 'red']",mother took red one called big red
p glad dylan wheelchair wipe backward onto lawn rather forward pool ya take silliness chatwin boy dylan rock delia uniquely qualified accompany journey god bless xoxo missouri,"['glad', 'dylan', 'wheelchair', 'wipe', 'backward', 'onto', 'lawn', 'rather', 'forward', 'pool', 'ya', 'take', 'silliness', 'chatwin', 'boy', 'dylan', 'rock', 'delia', 'uniquely', 'qualified', 'accompany', 'journey', 'god', 'bless', 'xoxo', 'missouri']",glad dylan wheelchair wipe backward onto lawn rather forward pool ya take silliness chatwin boy dylan rock delia uniquely qualified accompany journey god bless xoxo missouri
sister recently diagnosed stage 2 breast cancer age 21 started oral chemo rolling far wanted remind strong brave,"['sister', 'recently', 'diagnosed', 'stage', 'breast', 'cancer', 'age', '21', 'started', 'oral', 'chemo', 'rolling', 'far', 'wanted', 'remind', 'strong', 'brave']",sister recently diagnosed stage breast cancer age 21 started oral chemo rolling far wanted remind strong brave
praying full recovery meantime strength comfort continue chemo journey god bless,"['praying', 'full', 'recovery', 'meantime', 'strength', 'comfort', 'continue', 'chemo', 'journey', 'god', 'bless']",praying full recovery meantime strength comfort continue chemo journey god bless
god bless,"['god', 'bless']",god bless
warrior survivor strong go friends come took turns got first 4 infusions red devil red chemo coined thought blood jesus three years ago diagnosed survivor thriving,"['warrior', 'survivor', 'strong', 'go', 'friends', 'come', 'took', 'turns', 'got', 'first', 'infusions', 'red', 'devil', 'red', 'chemo', 'coined', 'thought', 'blood', 'jesus', 'three', 'years', 'ago', 'diagnosed', 'survivor', 'thriving']",warrior survivor strong go friends come took turns got first infusions red devil red chemo coined thought blood jesus three years ago diagnosed survivor thriving
10 year breast cancer survivor beat much love,"['10', 'year', 'breast', 'cancer', 'survivor', 'beat', 'much', 'love']",10 year breast cancer survivor beat much love
got,['got'],got
stay strong went thanks god cancer free know help god want give tip manage pain needle port cream sleep area ask doctor gets hour treatment send blessings,"['stay', 'strong', 'went', 'thanks', 'god', 'cancer', 'free', 'know', 'help', 'god', 'want', 'give', 'tip', 'manage', 'pain', 'needle', 'port', 'cream', 'sleep', 'area', 'ask', 'doctor', 'gets', 'hour', 'treatment', 'send', 'blessings']",stay strong went thanks god cancer free know help god want give tip manage pain needle port cream sleep area ask doctor gets hour treatment send blessings
hello lovely lady freak first time tinkled red infusion lol lower amount benedryl gave gave happy feet tap dancing seated amusement entertainment clients infused preferred getting infusions room others wonderful chats shared helpful tips first time cancer nails got thin grew exceptionally fast thirteen years later came back nails turned yellow brown took long time grow pink third cancer battle 21 year period still diddy bopping enjoying life today advanced treatments great lasting recovery praying heavenly father bless heal 3 missouri,"['hello', 'lovely', 'lady', 'freak', 'first', 'time', 'tinkled', 'red', 'infusion', 'lol', 'lower', 'amount', 'benedryl', 'gave', 'gave', 'happy', 'feet', 'tap', 'dancing', 'seated', 'amusement', 'entertainment', 'clients', 'infused', 'preferred', 'getting', 'infusions', 'room', 'others', 'wonderful', 'chats', 'shared', 'helpful', 'tips', 'first', 'time', 'cancer', 'nails', 'got', 'thin', 'grew', 'exceptionally', 'fast', 'thirteen', 'years', 'later', 'came', 'back', 'nails', 'turned', 'yellow', 'brown', 'took', 'long', 'time', 'grow', 'pink', 'third', 'cancer', 'battle', '21', 'year', 'period', 'still', 'diddy', 'bopping', 'enjoying', 'life', 'today', 'advanced', 'treatments', 'great', 'lasting', 'recovery', 'praying', 'heavenly', 'father', 'bless', 'heal', 'missouri']",hello lovely lady freak first time tinkled red infusion lol lower amount benedryl gave gave happy feet tap dancing seated amusement entertainment clients infused preferred getting infusions room others wonderful chats shared helpful tips first time cancer nails got thin grew exceptionally fast thirteen years later came back nails turned yellow brown took long time grow pink third cancer battle 21 year period still diddy bopping enjoying life today advanced treatments great lasting recovery praying heavenly father bless heal missouri
beautiful strong woman thank sharing journey,"['beautiful', 'strong', 'woman', 'thank', 'sharing', 'journey']",beautiful strong woman thank sharing journey
